obs,series01,ret,resid,inf,dtbill
1964M05,1964M05,-0.348942848,-1.747923754,0,0
1964M06,1964M06,3.963110668,2.867755687,0,-0.02
1964M07,1964M07,-1.223664183,-3.19970816,0.32206147,0.04
1964M08,1964M08,1.967479675,1.426543209,0,0.03
1964M09,1964M09,1.972185589,0.444364275,0,0.04
1964M10,1964M10,0.938911805,-0.579875065,0.321027563,0.07
1964M11,1964M11,-1.488373908,-2.432158189,0.320000273,0.2
1964M12,1964M12,2.822442234,2.491750653,0,-0.03
1965M01,1965M01,0.976673053,-0.781652628,0,0.12
1965M02,1965M02,0.337175793,-0.903103516,0,0
1965M03,1965M03,1.559560828,0.327247735,0.318979537,0
1965M04,1965M04,1.73449282,0.594840789,0.317965292,-0.04
1965M05,1965M05,-4.505488351,-5.72102476,0.316957476,-0.09
1965M06,1965M06,0.104526301,0.08363773,0,0.04
1965M07,1965M07,2.120218467,0.97424043,0,0
1965M08,1965M08,3.597718426,2.009487065,0,0.08
1965M09,1965M09,2.498694712,0.695325788,0.315956029,0.11
1965M10,1965M10,1.077798446,-0.142796074,0.31496089,0.06
1965M11,1965M11,-0.209802858,-1.197687536,0.313972,0.29
1965M12,1965M12,1.982266797,1.479757728,0,0.21
1966M01,1966M01,-0.428632662,-1.779877173,0.625002035,0.06
1966M02,1966M02,-3.860538713,-4.220489471,0.311042241,-0.06
1966M03,1966M03,3.322520065,3.196569466,0.310077768,0.03
1966M04,1966M04,-5.00606532,-6.477100603,0.309119257,0.02
1966M05,1966M05,-0.557924253,-0.377452151,0,-0.14
1966M06,1966M06,0.02033465,-1.172938233,0.308166654,0.3
1966M07,1966M07,-5.767513203,-6.31211409,0.613498857,0.16
1966M08,1966M08,-3.2227733,-2.429417678,0.305343749,0.41
1966M09,1966M09,-0.565123377,-0.355625728,0.304414238,-0.02
1966M10,1966M10,5.315340983,4.564482807,0,-0.03
1966M11,1966M11,0.715108861,-1.540831497,0,-0.36
1966M12,1966M12,4.131316857,2.464506452,0,-0.24
1967M01,1967M01,3.731004539,1.501960716,0.30349037,-0.16
1967M02,1967M02,2.634691697,0.885662721,0,-0.3
1967M03,1967M03,1.992469992,0.00232898,0.302572092,-0.42
1967M04,1967M04,2.057681032,0.395397789,0,-0.24
1967M05,1967M05,-0.991827771,-2.806947193,0.60241146,-0.06
1967M06,1967M06,1.993024718,1.601966212,0.2998503,0.67
1967M07,1967M07,1.852249758,1.274127914,0.298953885,0.06
1967M08,1967M08,1.654496067,0.49512645,0.298062814,0.15
1967M09,1967M09,0.097415023,-0.933656635,0.297177039,0.14
1967M10,1967M10,-2.881733919,-3.612900849,0.591717703,0.17
1967M11,1967M11,3.111734657,3.31603662,0.294551023,0.24
1967M12,1967M12,-0.016614201,-1.252511682,0.293685967,0.03
1968M01,1968M01,-4.256102694,-5.077904415,0.292825978,-0.02
1968M02,1968M02,-1.558310376,-1.584632325,0.29197101,0.19
1968M03,1968M03,7.662974707,7.306686238,0.291121021,0.21
1968M04,1968M04,2.558854221,0.380929054,0.290275966,0.28
1968M05,1968M05,2.941827594,1.851675306,0.578036292,-0.14
1968M06,1968M06,0.050027363,-1.231756443,0.574714226,-0.21
1968M07,1968M07,-1.932812396,-2.710678547,0.286123228,-0.22
1968M08,1968M08,3.508816634,2.81218555,0.285306898,0.1
1968M09,1968M09,2.718273281,1.253723194,0.568183347,0.16
1968M10,1968M10,1.786823218,0.838478677,0.28288562,0.1
1968M11,1968M11,1.286369386,0.162995829,0.563381772,0.51
1968M12,1968M12,-3.984350548,-4.30285323,0.280505093,0.18
1969M01,1969M01,-0.237745098,-0.131840155,0.279720462,-0.02
1969M02,1969M02,-1.912972085,-2.755242062,0.834497193,-0.1
1969M03,1969M03,2.275092313,2.272964202,0.552487593,0.09
