country ,public         ,uncons ,fmcn50_ceo,roce  ,sic2      ,sales,tanfixassts,materials,age   ,hours,employment  
ger,0,1,0,10,28,64741,24900,34216,111,.,320
ger,1,0,0,9,35,107508,15898,48292,34,38.12,660
ger,1,0,0,-1,25,79485,34367,22561,60,37.9,818
ger,0,1,0,32,32,338127,115712,165331,149,37.6,887
ger,0,1,0,-3,36,412486,90491,.,107,43,2937
ger,0,0,0,-2,22,41490,6567,21139,157,38.22,244
ger,0,1,0,2,35,115954,36654,50407,179,41.2,902
ger,0,0,0,7,34,2120462,915138,.,101,37,9648
ger,1,0,0,2,36,75522,15223,23836,52,.,861
ger,0,1,0,15,34,42307,6219,21622,69,35.7,166
ger,0,1,0,50,35,41113,1886,.,72,36,151
ger,1,0,0,4,35,1140085,449352,430954,143,.,5624
ger,0,1,0,-15,26,505373,153975,197585,55,40.5,2079
ger,1,0,0,-6,32,401357,179845,169104,120,38.1,5403
ger,0,1,0,2,34,28787,2505,8286,95,38.1,195
ger,1,0,0,-4,35,408255,66870,130487,125,.,3005
ger,1,0,0,2,34,183780,31367,66520,88,38.6,1890
ger,0,0,0,50,34,33583,11105,.,38,40,194
ger,0,0,0,-11,28,300881,59969,210503,83,48.14,4060
ger,0,0,0,7,35,18225,2404,6378,120,35.5,207
ger,0,0,0,3,36,1421070,232968,543538,123,37.37,6961
ger,1,0,1,8,28,737440,164313,203583,60,38.75,3419
ger,0,1,0,9,33,106315,26870,40885,34,36.25,584
ger,0,1,0,5,33,241573,27744,88369,36,38.7,509
ger,0,1,0,42,28,786910,99812,.,135,38.25,2628
ger,0,0,1,9,36,204571,48667,68062,89,35.26,2562
ger,1,0,0,5,24,128147,34561,36197,204,38.28,668
ger,0,0,0,27,33,343137,43097,134815,86,37,1416
ger,0,1,1,51,30,37189,8305,16002,54,40.7,360
ger,1,0,0,3,38,109049,9640,43882,143,35.75,1440
ger,0,1,0,24,28,682715,139871,240018,53,42.4,2744
ger,1,0,0,5,30,160212,40711,66936,113,.,1326
ger,1,0,0,10,34,361266,49322,163724,48,38.49,2255
ger,0,0,0,13,20,737123,107815,431873,151,40,2597
ger,1,0,0,5,33,1419054,549487,200965,127,36.15,11554
ger,0,1,0,9,26,484301,522702,.,10,38.15,4731
ger,1,0,0,-25,36,104100,36772,40445,34,40.75,1043
ger,0,0,1,16,23,132857,40102,53541,130,40.25,940
ger,0,0,0,20,36,331449,74739,.,8,.,1920
ger,1,0,0,6,39,644675,70634,179485,151,39.2,5073
ger,1,0,1,14,28,67627,11569,29745,61,39.2,341
ger,0,0,1,11,35,28522,12952,12062,63,44.92,392
ger,0,0,0,15,35,275623,46033,94305,99,35.51,2322
ger,1,0,0,4,30,92626,15643,39259,101,.,744
ger,0,1,0,16,33,137573,55028,.,12,38.7,600
ger,0,1,0,3,33,297011,.,131993,8,38.7,1790
ger,1,0,0,-6,35,21398,2733,8105,5,39,209
ger,1,0,0,2,35,198898,21687,74219,129,40.3,2327
ger,0,1,1,13,26,39415,23444,13410,34,43.42,304
ger,0,1,0,12,36,382872,76712,130316,129,42.3,1129
ger,1,0,0,6,35,111937,25404,42579,109,38.26,771
ger,0,1,0,51,28,211676,21729,.,111,40.75,539
ger,1,0,1,12,29,898668,187342,419295,20,38.7,3147
ger,0,1,0,-25,33,29636,12874,14193,31,37.64,476
ger,1,0,0,7,30,162912,30588,54811,146,39.7,1156
ger,0,0,0,14,32,144739,39113,31526,193,38,1901
ger,1,0,0,4,36,83231,46604,35428,40,37.48,740
ger,1,0,0,22,35,321092,47295,81926,81,35.75,2301
ger,0,0,0,12,35,127930,19524,38472,117,38.12,823
ger,0,0,0,0,35,247812,56040,.,89,.,1864
ger,0,1,0,17,39,420220,.,229187,107,38.3,1050
ger,1,0,0,1,24,149267,61815,52929,158,38.96,993
ger,1,0,1,8,28,402056,166384,169503,51,40,2088
ger,0,0,0,16,25,121837,35696,39127,79,40.15,1023
ger,1,0,0,11,32,118382,80708,10127,122,40.2,360
ger,1,0,0,12,35,241316,36934,68698,109,35,1308
ger,1,0,1,16,35,205018,30332,35470,55,.,1881
ger,1,0,0,32,35,134080,18273,31553,32,39.76,461
ger,1,0,0,13,35,214551,49977,85531,10,38.75,1671
ger,0,1,0,4,32,25013,5896,7396,108,40.4,557
ger,0,1,0,49,28,71279,8529,37410,178,.,272
ger,0,0,0,23,35,160096,7639,75350,205,36.45,1026
ger,1,0,0,14,20,15024,3499,4196,730,39.54,107
ger,0,0,0,12,27,1004063,172407,.,145,36,7602
ger,1,0,0,5,28,515150,301427,240751,148,38.25,4819
ger,1,0,0,7,36,268234,38613,133687,74,35.45,2366
ger,0,1,1,19,35,110380,25547,18520,56,37.18,1474
ger,0,1,0,51,35,305736,15973,.,66,40,2111
ger,0,0,0,48,35,351321,67738,.,53,35.24,3268
ger,1,0,0,26,32,264575,77070,77005,58,36.7,1441
ger,1,0,0,4,35,359167,.,115259,140,37.3,1376
ger,0,0,0,50,22,74670,6970,.,143,37,173
ger,1,0,1,13,35,986127,152809,404244,24,38.28,7709
ger,0,0,0,-13,32,45082,10363,.,131,38.7,691
ger,1,0,0,7,36,769314,127444,411273,71,.,5248
ger,0,1,0,12,26,49391,11276,30404,40,36.5,247
ger,0,1,0,17,26,149736,68240,69964,71,39.1,471
ger,1,0,0,5,32,129942,13224,71494,44,37.32,1544
ger,0,1,0,2,37,106412,5088,78808,16,39.2,683
ger,0,1,0,26,35,1127820,42821,.,52,35.25,4715
ger,0,0,1,8,35,1288406,180401,515957,193,.,7068
ger,1,0,0,15,20,28140,16362,5574,357,38.2,219
ger,0,0,0,22,35,225202,36026,.,101,40,1580
ger,0,0,0,-10,38,19237,7349,2928,5,41.5,200
ger,1,0,0,11,32,95616,34098,31265,95,38.76,588
ger,0,1,0,-10,32,65536,22714,31972,78,38.35,339
ger,1,0,0,10,34,166824,26104,58831,71,35.6,1097
uk,0,0,1,6,39,22601,6968,9786,130,.,179
uk,1,0,0,-9,31,130662,21244,84149,93,48.34,696
uk,0,0,1,10,20,121750,100510,77887,97,42,836
uk,0,0,0,25,38,35507,5742,9252,32,.,348
uk,1,0,0,20,26,516314,138659,389030,91,.,2790
uk,0,1,0,51,35,397364,41415,192272,31,39.4,1556
uk,0,0,1,15,28,31775,4150,14432,91,38.3,205
uk,0,0,1,21,22,32587,6350,18859,30,.,264
uk,0,0,0,11,28,9175,2697,3280,27,.,217
uk,0,0,0,10,39,9574,7074,574,113,.,267
uk,0,0,1,13,35,34833,5537,27841,26,.,267
uk,1,0,0,27,26,155942,31067,93721,25,40.3,1403
